"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm50431",51.3110676430776,-0.0807168349561279,0.195812031242093,-0.412215911576615,0.680181175594563,0.999958958199752
"As3mt",1073.92342625244,-0.109881476206833,0.136106563435046,-0.80731945200623,0.419482459869435,0.999958958199752
"Wbp1l",1869.40416185897,0.113162057704295,0.107115103896676,1.05645285853854,0.29076136746468,0.999958958199752
"Trim8",850.565132646429,0.0164803344997445,0.126912782071987,0.129855592405158,0.89668067884126,0.999958958199752
"Actr1a",3436.42854937429,-0.0614113521473988,0.100962819097396,-0.608257105897144,0.543016965160089,0.999958958199752
"2310034G01Rik",17.0413788940232,-0.142465720133341,0.282005064884687,-0.505188515644554,0.613426435726614,0.999958958199752
"Cuedc2",415.578669766124,-0.0834041919472606,0.0906593547345548,-0.919973368346412,0.357586676371758,0.999958958199752
"Fbxl15",195.703036197285,-0.113269635432406,0.171512359015886,-0.660416754118082,0.508986423504989,0.999958958199752
"Psd",306.712998240993,-0.0757509411702042,0.162758959758728,-0.4654179486186,0.641632183220325,0.999958958199752
"Nfkb2",818.73172183484,-0.0783459968065217,0.139518551734297,-0.5615453703657,0.574425809981698,0.999958958199752
"Nolc1",1246.24847633607,0.0130154251362825,0.150035897975191,0.0867487402143898,0.930871233324338,0.999958958199752
"Ldb1",1099.94256390141,-0.0710226176071016,0.0814803675491896,-0.871653132445989,0.383397635497988,0.999958958199752
"Hps6",176.599269693129,-0.0859442147290607,0.0859112169186035,-1.00038409199218,0.317124665524784,0.999958958199752
"Gm50196",0.950174759629604,0.803961023963403,0.778870161968163,1.03221443472919,0.301971674403601,NA
"Kcnip2",146.701991245941,-0.2467376466598,0.204508563333619,-1.2064905382827,0.227628405146179,0.999958958199752
"Npm3",370.990027841324,-0.0540667088247095,0.165337447835365,-0.327008246060182,0.743661648344297,0.999958958199752
"Poll",237.77027675387,0.0532216979511751,0.113050719239037,0.470777172488765,0.637799867627169,0.999958958199752
